Data and time, Laser status, Laser current power (W), Laser current, Laser set power (W), LBO status, LBO current temp (C), LBO current, LBO set temp (C), VANADATE status, VANADATE current temp (C), VANADATE current, VANADATE set temp (C), ETALON status, ETALON current temp (C), ETALON current, ETALON set temp (C), DIODE1 status, DIODE1 current temp (C), DIODE1 temp current, DIODE1 set temp (C), DIODE1 current (A), DIODE2 status, DIODE2 current temp (C), DIODE2 temp current, DIODE2 set temp (C), DIODE2 current (A), Baseplate Temp (C), Heatsink Temp 1 (C), Heatsink Temp 2 (C)
2018-05-24T13:51:59.028062, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.11, 6201.57, 147.08, OPEN, 20.01, 0.00, 30.00, LOCKED, 53.01, 1405.34, 53.00, LOCKED, 22.94, -511.51, 22.98, 0.00, LOCKED, 22.19, -564.73, 22.18, 0.00, 19.29, 24.25, 25.67
2018-05-24T13:53:08.745302, SEEKING, 0.174, 4.92, 13.0000, LOCKED, 147.08, 6226.36, 147.08, OPEN, 20.04, 0.00, 30.00, LOCKED, 53.01, 1406.35, 53.00, LOCKED, 22.91, -510.64, 22.98, 0.00, LOCKED, 22.00, -562.37, 22.18, 0.00, 19.29, 24.07, 25.69
2018-05-24T13:54:17.561466, SEEKING, 0.174, 4.88, 13.0000, LOCKED, 147.09, 6217.75, 147.08, OPEN, 20.01, 0.00, 30.00, LOCKED, 53.03, 1407.33, 53.00, LOCKED, 22.81, -523.18, 22.98, 0.00, LOCKED, 22.18, -568.15, 22.18, 0.00, 19.30, 24.29, 25.68
2018-05-24T13:55:26.377719, SEEKING, 0.174, 4.90, 13.0000, LOCKED, 147.11, 6201.50, 147.08, OPEN, 20.01, 0.00, 30.00, LOCKED, 53.02, 1406.93, 53.00, LOCKED, 22.79, -508.31, 22.98, 0.00, LOCKED, 22.13, -577.21, 22.18, 0.00, 19.30, 24.32, 25.77
2018-05-24T13:56:35.194541, SEEKING, 0.174, 4.93, 13.0000, LOCKED, 147.07, 6233.77, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 52.99, 1406.72, 53.00, LOCKED, 22.96, -539.56, 22.98, 0.00, LOCKED, 22.18, -571.97, 22.18, 0.00, 19.30, 24.33, 25.76
2018-05-24T13:57:44.009358, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.09, 6186.18, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.03, 1407.69, 53.00, LOCKED, 22.96, -519.37, 22.98, 0.00, LOCKED, 22.10, -561.98, 22.18, 0.00, 19.29, 24.28, 25.69
2018-05-24T13:58:52.772130, SEEKING, 0.174, 4.88, 13.0000, LOCKED, 147.07, 6202.07, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.02, 1407.17, 53.00, LOCKED, 23.01, -512.40, 22.98, 0.00, LOCKED, 22.19, -576.95, 22.18, 0.00, 19.29, 24.31, 25.69
2018-05-24T14:00:01.530041, SEEKING, 0.174, 4.92, 13.0000, LOCKED, 147.12, 6226.46, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.03, 1409.16, 53.00, LOCKED, 22.99, -524.56, 22.98, 0.00, LOCKED, 22.34, -573.44, 22.18, 0.00, 19.29, 24.30, 25.68
2018-05-24T14:01:11.255555, SEEKING, 0.174, 4.90, 13.0000, LOCKED, 147.08, 6221.10, 147.08, OPEN, 19.99, 0.00, 30.00, LOCKED, 53.01, 1408.11, 53.00, LOCKED, 22.85, -498.99, 22.98, 0.00, LOCKED, 22.22, -569.62, 22.18, 0.00, 19.31, 24.26, 25.64
2018-05-24T14:02:20.027852, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.11, 6240.82, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 53.01, 1409.28, 53.00, LOCKED, 23.03, -516.96, 22.98, 0.00, LOCKED, 22.17, -575.58, 22.18, 0.00, 19.28, 24.01, 25.54
